Source,Book,Review,Rating
Amazon,The Great Gatsby,An absolute masterpiece! The writing is elegant and the theme is timeless. I was filled with joy reading it.,5
Amazon,The Great Gatsby,Beautifully written but the characters are extremely shallow and hard to like. Very dry.,3
Amazon,The Great Gatsby,Very boring. Couldn't get past the first three chapters. Absolute waste of time and money.,1
Amazon,Atomic Habits,Incredible practical advice. Implementing the 1% rule changed my routine completely. Best purchase!,5
Amazon,Atomic Habits,"Garbage. Just repetitive pseudo-scientific claims. Save your money, I am so angry.",1
Amazon,The Hobbit,"A wonderful, magical adventure! Excellent world building and storytelling. Loved it.",5
Amazon,Educated,"Found it self-indulgent and hard to believe. Did not enjoy it at all, so annoying.",2
Social Media,1984,Terrifyingly relevant! Orwell's depiction of a totalitarian state is genius. Mind-blowing!,5
Social Media,1984,Too depressing and slow paced. I understand the message but hated the execution. Sad story.,2
Social Media,Sapiens,Sapiens is mind-blowing! Completely changed how I view human history and our future. Wow!,5
Social Media,Sapiens,"A fascinating overview, though some scientific claims are oversimplified.",4
Social Media,The Hobbit,Loved it. A timeless classic that both kids and adults will enjoy.,5
Social Media,The Hobbit,"A bit childish compared to Lord of the Rings, but still a decent read.",3
News Site,"Thinking, Fast and Slow",A dense but rewarding read. Kahneman's insights into decision making are stellar and astonishing.,5
News Site,"Thinking, Fast and Slow",Extremely academic and hard to get through. Very dry writing. Disappointing read.,2
News Site,Educated,Astonishing memoir. An inspiring story of resilience and the power of learning.,5
News Site,Educated,"Very well written, but some parts are extremely graphic and disturbing.",4
